Rank,Name,Position,Team,Best,Worst,Draft,Dev 
1,Russell Westbrook,G,OKC,1,4,1.7143,0.958314847
2,James Harden,G,HOU,1,3,2.0714,0.593330276
3,Stephen Curry,G,GSW,1,5,2.7143,1.27775313
4,Kevin Durant,F,GSW,2,5,4.2143,0.860113898
5,Karl-Anthony Towns,C,MIN,3,9,5.4286,1.545236261
6,Anthony Davis,F,NOR,4,11,6.6429,1.985919825
7,Chris Paul,G,LAC,3,13,8.0714,2.344119869
8,Kawhi Leonard,G,SAS,5,12,8.5,2.095914393
9,LeBron James,F,CLE,8,11,9.0714,1.334395835
10,DeMarcus Cousins,F,SAC,5,26,11.0714,5.229917859
11,Hassan Whiteside,C,MIA,7,15,12,2.360387377
12,Giannis Antetokounmpo,G,MIL,7,20,12.0714,4.026063049
13,Paul George,F,IND,9,20,12.4286,2.945075447
14,Damian Lillard,G,POR,11,20,13.8571,2.66879167
15,John Wall,G,WAS,12,26,16.0714,3.554962039
16,Kyle Lowry,G,TOR,12,21,16.2143,2.650567902
17,Jimmy Butler,G,CHI,9,27,18.2143,3.801852395
18,Paul Millsap,F,ATL,13,42,19.4286,7.798482322
19,Kemba Walker,G,CHA,15,29,21.6429,3.084688983
20,Draymond Green,F,GSW,16,48,22.0714,7.932431493
21,Al Horford,C,BOS,14,51,22.4286,8.657897185
22,Kyrie Irving,G,CLE,18,29,22.5714,3.395675521
23,Victor Oladipo,G,OKC,17,37,25.4286,4.938396005
24,Eric Bledsoe,G,PHO,19,40,26.5714,6.172685057
25,Brook Lopez,C,BKN,13,38,27.7143,6.134545872
26,Isaiah Thomas,G,BOS,22,40,29.2143,4.708329571
27,C.J. McCollum,G,POR,21,42,29.9286,5.700429629
28,LaMarcus Aldridge,F,SAS,17,58,30.8571,9.804205678
29,Klay Thompson,G,GSW,17,42,31.4286,6.800360135
30,Blake Griffin,F,LAC,13,73,33.2857,16.22356563
31,Kristaps Porzingis,C,NYK,22,82,34.0714,15.03075079
32,Carmelo Anthony,F,NYK,24,77,35.3571,12.58461159
33,Derrick Favors,F,UTH,24,70,35.7857,10.24122322
34,Gordon Hayward,G,UTH,23,59,35.9286,8.795000899
35,Serge Ibaka,F,ORL,25,53,38.1429,7.510536816
36,Marc Gasol,C,MEM,28,56,38.6429,7.779158446
37,Nicolas Batum,G,CHA,27,51,39,6.210590034
38,DeAndre Jordan,C,LAC,19,77,40.5714,14.27142142
39,Rudy Gobert,C,UTH,26,55,41,8.383657572
40,Andre Drummond,C,DET,21,68,41.5,15.99888389
41,Pau Gasol,F,SAS,32,80,42.3571,11.95591392
42,DeMar DeRozan,G,TOR,22,56,43.1429,11.28119258
43,Kevin Love,F,CLE,28,84,43.4286,13.9832261
44,Mike Conley,G,MEM,32,63,47.1429,9.394961741
45,Nikola Vucevic,F,ORL,30,98,48.8571,15.00408108
46,Nikola Jokic,C,DEN,25,86,49.2143,15.69430548
47,Jeff Teague,G,IND,44,64,52.7143,5.872801369
48,Andrew Wiggins,G,MIN,26,78,52.9286,12.31992744
49,Trevor Ariza,G,HOU,34,73,53.5714,11.8605847
50,Goran Dragic,G,MIA,37,96,54.0714,13.50377876
51,Jonas Valanciunas,C,TOR,36,82,55.5,10.10480791
52,Tobias Harris,F,DET,42,105,55.7857,15.89779217
53,Dennis Schroder,G,ATL,48,74,55.5714,6.184245949
54,Ricky Rubio,G,MIN,39,83,56,14.52092087
55,Nerlens Noel,F,PHI,33,148,60.6429,26.35365831
56,Brandon Knight,G,PHO,45,86,58.8571,10.92086563
57,Chandler Parsons,F,MEM,38,125,62.0714,19.17015644
58,Danilo Gallinari,F,DEN,33,71,60.8571,9.701672484
59,Jae Crowder,F,BOS,40,84,57.9231,11.5722582
60,Reggie Jackson,G,DET,33,125,64.1429,25.74006644
61,Marcin Gortat,C,WAS,53,72,61.7857,5.918235396
62,Gorgui Dieng,C,MIN,32,84,58.9231,13.22853291
63,Bradley Beal,G,WAS,36,76,62,9.456668093
64,Evan Fournier,G,ORL,38,99,64.2857,14.64059216
65,Rajon Rondo,G,CHI,43,116,67.3571,21.84231523
66,Rudy Gay,F,SAC,42,126,69.0714,17.32654564
67,Myles Turner,C,IND,38,101,66.0769,14.74115922
68,Dirk Nowitzki,F,DAL,44,87,66.4615,9.402253287
69,Zach LaVine,G,MIN,41,134,73.2857,19.68838879
70,D'Angelo Russell,G,LAL,45,111,72.0714,18.25401829
71,Jabari Parker,F,MIL,60,129,76.4286,17.72292416
72,Dwyane Wade,G,CHI,46,110,76.1429,17.50859847
73,Darren Collison,G,SAC,51,112,76.1429,15.78813815
74,Otto Porter,F,WAS,32,110,76.3571,19.28214253
75,Thaddeus Young,F,IND,60,98,74.4615,9.262126227
76,Avery Bradley,G,BOS,52,96,77.9286,9.706141544
77,Enes Kanter,C,OKC,70,110,79.8571,9.410155174
78,Ryan Anderson,F,HOU,59,109,79.9231,11.80913296
79,Dwight Howard,C,ATL,58,162,87.2857,27.01964516
80,Greg Monroe,C,MIL,52,133,85.3571,20.00930906
81,Devin Booker,G,PHO,33,132,84.6429,21.40963449
82,George Hill,G,UTH,52,109,83.0714,13.42952124
83,Jordan Clarkson,G,LAL,70,102,85.9286,8.4975987
84,Jahlil Okafor,C,PHI,66,180,92.8571,26.7951412
85,Ben Simmons,SF,PHI,48,192,116.7692,50.53582712
86,Kent Bazemore,G,ATL,46,111,88.2857,16.86258992
87,Wesley Matthews,G,DAL,44,115,89,16.44471257
88,Aaron Gordon,F,ORL,55,112,88.4615,15.85324711
89,Robert Covington,F,PHI,45,164,94.0769,26.84273727
90,Nikola Mirotic,F,CHI,56,128,92,19.0465018
91,Rodney Hood,F,UTH,39,113,90.6429,17.5238904
92,Marvin Williams,F,CHA,47,114,89.4615,16.64847133
93,Elfrid Payton,G,ORL,54,124,91.9286,17.30592089
94,Steven Adams,C,OKC,65,130,93.1429,16.32639031
95,Jrue Holiday,G,NOR,40,127,93.6154,22.5747935
96,Harrison Barnes,F,DAL,69,126,93.1538,13.94409803
97,Khris Middleton,F,MIL,22,136,76,41.03047648
98,Jeremy Lin,G,BKN,74,120,96.2143,15.03889515
99,Julius Randle,F,LAL,69,123,97.7692,17.08419803
100,DeMarre Carroll,F,TOR,74,145,97.0769,18.49932031
101,Monta Ellis,G,IND,76,115,96.1429,10.11969186
102,Robin Lopez,C,CHI,67,123,97.7143,12.97485795
103,Brandon Ingram,SF,LAL,35,230,117.6429,42.72437769
104,Danny Green,G,SAS,67,164,110.5,24.24502895
105,J.J. Redick,G,LAC,85,121,97.8571,10.30157507
106,Emmanuel Mudiay,PG,DEN,64,220,108.8571,34.79913206
107,Kyle Korver,G,ATL,30,154,118.1429,27.63501181
108,Chris Bosh,F,MIA,36,160,129.1667,42.51045623
109,Rondae Hollis-Jefferson,F,BKN,61,153,114.2143,21.76228248
110,Kenneth Faried,F,DEN,83,149,106.3846,18.34514592
111,Evan Turner,G,POR,57,198,122.8571,29.8947132
112,Will Barton,G,DEN,55,185,129.7143,29.50648493
113,Derrick Rose,G,NYK,78,179,111.3571,23.74148612
114,Kentavious Caldwell-Pope,G,DET,90,120,102.5,9.317801703
115,Luol Deng,F,LAL,84,120,104,9.992304731
116,Jusuf Nurkic,C,DEN,64,163,126.3571,24.53163306
117,Markieff Morris,F,WAS,77,134,113.1538,16.40284288
118,J.R. Smith,F,FA,65,146,124.7692,20.36268777
119,Clint Capela,F,HOU,87,171,114.8462,22.09366827
120,Wilson Chandler,G,DEN,69,179,144.9167,29.60984727
121,Eric Gordon,G,HOU,89,183,112.2143,22.31008283
122,Courtney Lee,G,NYK,84,169,132.5714,24.98203436
123,Jamal Crawford,G,LAC,72,180,142.6923,27.07648601
124,Michael Kidd-Gilchrist,F,CHA,75,193,142.4286,25.33973245
125,P.J. Tucker,F,PHO,78,210,173.3,36.73703853
126,Gary Harris,G,DEN,83,156,116.5,17.86357027
127,Mirza Teletovic,F,MIL,81,188,133.4615,29.40856857
128,Patrick Beverley,G,HOU,82,175,124,22.0389266
129,Alex Len,C,PHO,90,150,118.0769,16.35877341
130,Joel Embiid,C,PHI,85,179,141.1429,24.60214028
131,Joakim Noah,C,NYK,92,159,123.8462,18.30445996
132,Deron Williams,G,DAL,94,134,112.4615,12.81594791
133,Arron Afflalo,G,SAC,88,199,166.2857,26.92430811
134,Tristan Thompson,F,CLE,93,166,128,22.83047895
135,Stanley Johnson,SF,DET,91,184,141.2308,24.21110313
136,Andre Iguodala,G,GSW,93,211,157.9167,31.73184083
137,Tyreke Evans,G,NOR,96,186,122.6429,26.25318251
138,Justise Winslow,F,MIA,95,154,129.6154,16.33089786
139,Andrew Bogut,C,DAL,95,149,121.5714,14.64198604
140,Zach Randolph,F,MEM,95,143,124.3846,12.44395721
141,Jared Sullinger,F,TOR,96,170,132.7692,21.01704014
142,Marcus Smart,G,BOS,98,162,131.8571,17.47184324
143,Timofey Mozgov,C,LAL,99,178,146.0714,19.98021981
144,Al-Farouq Aminu,F,POR,99,153,128.0769,17.38461538
145,Josh Richardson,G,MIA,100,177,150.4167,21.19928589
146,Willie Cauley-Stein,F,SAC,100,162,138.3846,15.90132293
147,Hollis Thompson,F,PHI,101,228,190.5,35.52252806
148,Matt Barnes,F,SAC,101,206,149.5385,26.2872165
149,Michael Carter-Williams,G,MIL,101,165,132.2857,15.64986797
150,Buddy Hield,SG,NOR,102,183,131.0714,20.45016341
151,Marcus Morris,F,DET,102,169,132,16.87054785
152,Joe Johnson,G,UTH,103,205,169.3846,28.14943219
153,Bismack Biyombo,F,ORL,104,185,135.8462,19.06202893
154,Cody Zeller,C,CHA,105,172,151.6154,17.97236537
155,Matthew Dellavedova,G,MIL,106,201,151,28.63273185
156,Jared Dudley,G,PHO,106,198,167.9167,24.03628623
157,Jerryd Bayless,G,PHI,106,196,149.6154,22.09607853
158,Frank Kaminsky,F,CHA,107,205,168.6667,26.66249967
159,Bojan Bogdanovic,F,BKN,108,216,171.6429,25.96593137
