Players,GP,Pre,Current,FGM,FGA,FG,FTM,FTA,FT,3PTM,PTS,OREB,DREB,REB,AST,ST,BLK,A/T
"S. Curry GS - PG,SG",78,1,2,9.0,18.3,0.491,4.5,4.9,0.914,4.7,27.2,0.7,4.0,4.7,7.0,2.0,0.2,2.2
"K. Durant GS - SF,PF",77,2,4,8.9,17.5,0.511,5.8,6.6,0.891,2.8,26.6,0.6,6.9,7.5,4.5,1.0,1.2,1.4
"J. Harden Hou - PG,SG,SF",80,3,3,8.5,19.0,0.444,8.9,10.3,0.864,2.8,28.6,0.8,5.0,5.8,7.3,1.8,0.5,1.7
R. Westbrook OKC - PG,80,4,1,9.4,21.3,0.441,7.7,9.3,0.829,1.4,27.9,1.8,6.2,8.0,9.5,2.1,0.3,2.1
K. Towns Min - C,81,5,10,8.4,15.6,0.541,3.2,3.9,0.832,0.5,20.6,2.9,8.2,11.1,2.1,0.8,1.7,0.8
"K. Leonard SA - SG,SF",71,6,15,7.8,15.8,0.493,4.1,4.8,0.845,1.8,21.5,1.3,5.4,6.7,2.8,1.9,0.9,1.7
"G. Antetokounmpo Mil - PG,SG,SF",80,7,6,7.3,14.4,0.509,4.1,5.6,0.733,0.4,19.1,1.3,7.0,8.3,6.8,1.4,1.5,2.3
"A. Davis NO - PF,C",69,8,11,9.4,18.6,0.505,5.5,7.0,0.778,0.8,25.1,2.4,7.8,10.2,2.2,1.3,2.4,1.1
C. Paul LAC - PG,73,9,7,6.6,14.0,0.468,3.6,4.1,0.887,1.6,18.4,0.5,3.6,4.1,10.0,2.1,0.2,4.2
"P. George Ind - SF,PF",80,10,12,7.4,17.3,0.427,5.5,6.4,0.865,2.7,23.0,1.0,5.9,6.9,4.3,1.8,0.4,1.4
"L. James Cle - SF,PF",75,11,5,9.6,18.3,0.527,4.8,6.5,0.737,1.3,25.3,1.3,5.8,7.2,6.9,1.4,0.7,2.2
D. Lillard Por - PG,82,12,9,8.3,19.6,0.424,5.3,6.0,0.882,3.0,24.9,0.6,3.5,4.1,7.0,0.9,0.3,2.3
H. Whiteside Mia - C,74,13,22,5.9,9.8,0.598,3.0,4.7,0.644,0.0,14.8,3.3,8.4,11.7,0.5,0.6,3.4,0.3
"D. Cousins Sac - PF,C",72,14,13,9.4,20.6,0.454,7.5,10.2,0.735,1.0,27.2,2.5,9.3,11.8,3.4,1.5,1.5,0.9
"P. Millsap Atl - PF,C",77,15,19,6.3,13.4,0.472,3.8,5.2,0.740,1.0,17.5,2.4,6.3,8.6,3.1,1.8,1.5,1.3
"J. Butler Chi - SG,SF",68,16,23,6.6,14.5,0.457,5.7,6.8,0.838,1.2,20.1,1.4,4.1,5.4,4.0,1.7,0.6,2.2
"A. Horford Bos - PF,C",78,17,27,6.7,13.1,0.512,1.4,1.8,0.775,1.0,15.8,2.0,5.5,7.5,3.1,0.8,1.4,2.0
"V. Oladipo OKC - PG,SG",75,18,43,6.2,14.0,0.440,3.0,3.6,0.822,1.4,16.7,0.7,4.1,4.8,4.1,1.7,0.7,1.7
"D. Green GS - SF,PF",80,19,18,4.5,9.2,0.485,2.6,3.7,0.708,1.1,12.6,1.7,7.4,9.1,6.3,1.5,1.4,2.2
"L. Aldridge SA - PF,C",72,20,24,8.4,16.6,0.508,3.9,4.6,0.838,0.1,20.8,2.5,6.8,9.3,1.8,0.6,1.1,1.2
K. Lowry Tor - PG,77,21,14,6.5,15.3,0.423,5.0,6.2,0.804,2.8,20.7,0.8,3.9,4.6,6.8,1.8,0.3,2.5
"K. Irving Cle - PG,SG",72,22,29,8.1,18.0,0.448,3.7,4.2,0.869,2.0,21.9,0.8,2.5,3.3,5.1,1.2,0.3,2.0
K. Walker Cha - PG,79,23,16,6.9,16.2,0.424,4.4,5.3,0.834,2.3,20.5,0.7,3.9,4.6,5.4,1.5,0.4,2.5
"K. Porzingis NY - PF,C",76,24,40,6.0,13.7,0.437,3.1,3.7,0.833,1.3,16.3,2.0,6.2,8.2,1.4,0.9,2.0,0.8
N. Jokic Den - C,81,25,39,4.4,8.7,0.505,2.2,2.7,0.818,0.5,11.5,2.6,5.5,8.0,2.7,1.2,0.8,1.8
J. Wall Was - PG,80,26,8,7.5,17.3,0.432,3.6,4.6,0.785,1.5,20.0,0.6,4.3,4.8,10.1,1.9,0.7,2.6
"S. Ibaka Orl - PF,C",81,27,44,7.0,14.6,0.482,1.9,2.4,0.777,0.9,16.9,2.0,5.3,7.2,1.0,0.5,2.1,0.6
"D. Favors Uta - PF,C",75,28,41,6.9,13.2,0.520,2.9,4.2,0.682,0.0,16.7,2.7,5.6,8.3,1.5,1.0,1.6,0.9
"K. Thompson GS - SG,SF",80,29,26,7.3,15.6,0.468,2.3,2.6,0.878,3.6,20.4,0.4,3.2,3.6,2.5,0.9,0.7,1.5
B. Lopez Bkn - C,74,30,25,8.2,16.2,0.508,4.7,5.9,0.799,0.0,21.2,2.7,5.3,8.0,1.7,0.7,1.7,0.7
"K. Love Cle - PF,C",78,31,30,5.5,12.9,0.429,3.5,4.3,0.823,2.2,16.8,1.8,8.3,10.1,2.5,0.8,0.5,1.4
"C. McCollum Por - PG,SG",79,32,42,7.6,17.2,0.442,2.2,2.7,0.795,2.5,19.9,0.6,2.8,3.4,4.1,1.1,0.3,1.8
"E. Bledsoe Pho - PG,SG",64,33,46,7.1,15.8,0.451,4.2,5.3,0.794,1.5,20.0,0.7,3.3,4.0,6.1,1.8,0.6,1.8
"C. Anthony NY - SF,PF",70,34,33,7.8,17.8,0.438,4.6,5.6,0.822,1.5,21.7,1.5,5.9,7.5,4.1,0.9,0.5,1.8
"B. Griffin LAC - PF,C",75,35,17,8.8,17.4,0.507,4.6,6.3,0.731,0.1,22.5,1.7,6.9,8.6,5.1,0.9,0.6,2.1
J. Valanciunas Tor - C,73,36,52,5.6,10.1,0.557,3.2,4.1,0.772,0.0,14.4,3.2,6.5,9.7,0.9,0.5,1.4,0.5
I. Thomas Bos - PG,80,37,20,7.0,16.4,0.429,5.7,6.6,0.865,2.2,22.0,0.5,2.2,2.7,6.1,1.0,0.1,2.2
"M. Turner Ind - PF,C",73,38,110,5.3,10.5,0.503,1.8,2.5,0.743,0.1,12.5,1.3,5.2,6.5,0.9,0.5,1.6,0.7
M. Conley Mem - PG,73,39,45,5.4,12.5,0.436,3.3,3.9,0.835,1.5,15.6,0.5,2.5,3.0,6.3,1.3,0.2,3.5
